    Step      Energy    Pressure     Density
             kcal/mol     psi        volume
       25   -118.211      0.461      0.600
       50   -115.125      0.516      0.600
       75   -111.314      0.583      0.600
      100   -111.267      0.602      0.600
      125   -103.931      0.700      0.600
      150   -115.182      0.534      0.600
      175   -117.410      0.483      0.600
      200   -117.733      0.462      0.600
      225   -117.289      0.460      0.600
      250   -117.525      0.449      0.600
      275   -121.477      0.387      0.600
      300   -123.086      0.365      0.600
      325   -118.499      0.432      0.600
      350   -115.217      0.482      0.600
      375   -114.877      0.494      0.600
      400   -110.984      0.555      0.600
      425   -109.597      0.571      0.600
      450   -115.239      0.484      0.600
      475   -115.514      0.472      0.600
      500   -116.666      0.453      0.600
      525   -115.225      0.475      0.600
      550   -116.099      0.463      0.600
      575   -118.040      0.430      0.600
      600   -116.568      0.439      0.600
      625   -121.283      0.369      0.600
      650   -120.983      0.368      0.600
      675   -122.246      0.354      0.600
      700   -115.933      0.443      0.600
      725   -117.563      0.421      0.600
      750   -120.475      0.379      0.600
      775   -117.922      0.414      0.600
      800   -116.469      0.437      0.600
      825   -113.722      0.477      0.600
      850   -113.360      0.480      0.600
      875   -120.192      0.387      0.600
      900   -119.432      0.401      0.600
      925   -116.639      0.454      0.600
      950   -112.381      0.530      0.600
      975   -110.849      0.568      0.600
     1000   -110.950      0.573      0.600
     1025   -115.163      0.507      0.600
     1050   -116.060      0.481      0.600
     1075   -118.488      0.439      0.600
     1100   -116.700      0.457      0.600
     1125   -120.513      0.390      0.600
     1150   -128.061      0.273      0.600
     1175   -125.496      0.314      0.600
     1200   -114.715      0.476      0.600
     1225   -116.975      0.463      0.600
     1250   -118.785      0.451      0.600
     1275   -117.178      0.486      0.600
     1300   -114.551      0.534      0.600
     1325   -112.765      0.562      0.600
     1350   -114.588      0.531      0.600
     1375   -114.216      0.525      0.600
     1400   -118.880      0.448      0.600
     1425   -124.186      0.372      0.600
     1450   -119.234      0.448      0.600
     1475   -113.946      0.530      0.600
     1500   -114.125      0.531      0.600
     1525   -110.522      0.578      0.600
     1550   -109.052      0.592      0.600
     1575   -112.048      0.544      0.600
     1600   -112.430      0.533      0.600
     1625   -112.135      0.534      0.600
     1650   -111.900      0.528      0.600
     1675   -113.599      0.486      0.600
     1700   -122.490      0.350      0.600
     1725   -121.659      0.360      0.600
     1750   -117.205      0.435      0.600
     1775   -114.090      0.491      0.600
     1800   -115.540      0.470      0.600
     1825   -120.650      0.390      0.600
     1850   -120.452      0.384      0.600
     1875   -111.265      0.504      0.600
     1900   -116.074      0.435      0.600
     1925   -119.486      0.387      0.600
     1950   -119.170      0.393      0.600
     1975   -122.110      0.356      0.600
     2000   -119.892      0.391      0.600
     2025   -117.981      0.422      0.600
     2050   -118.074      0.425      0.600
     2075   -115.675      0.458      0.600
     2100   -117.056      0.433      0.600
     2125   -122.195      0.355      0.600
     2150   -119.125      0.395      0.600
     2175   -113.982      0.469      0.600
     2200   -119.429      0.404      0.600
     2225   -116.953      0.445      0.600
     2250   -115.857      0.466      0.600
     2275   -113.469      0.504      0.600
     2300   -112.349      0.522      0.600
     2325   -117.456      0.449      0.600
     2350   -119.279      0.413      0.600
     2375   -123.580      0.353      0.600
     2400   -113.062      0.502      0.600
     2425   -115.774      0.479      0.600
     2450   -115.587      0.494      0.600
     2475   -113.950      0.528      0.600
     2500   -117.903      0.478      0.600
     2525   -115.672      0.504      0.600
     2550   -116.356      0.486      0.600
     2575   -118.292      0.446      0.600
     2600   -114.664      0.486      0.600
     2625   -112.794      0.511      0.600
     2650   -115.004      0.483      0.600
     2675   -115.793      0.470      0.600
     2700   -113.599      0.497      0.600
     2725   -108.773      0.561      0.600
     2750   -106.250      0.591      0.600
     2775   -112.755      0.497      0.600
     2800   -117.182      0.433      0.600
     2825   -116.638      0.447      0.600
     2850   -114.214      0.492      0.600
     2875   -115.688      0.482      0.600
     2900   -119.692      0.430      0.600
     2925   -116.505      0.468      0.600
     2950   -117.473      0.451      0.600
     2975   -115.326      0.486      0.600
     3000   -105.122      0.630      0.600
     3025   -112.510      0.526      0.600
     3050   -114.596      0.490      0.600
     3075   -109.647      0.553      0.600
     3100   -115.331      0.479      0.600
     3125   -111.524      0.535      0.600
     3150   -113.896      0.505      0.600
     3175   -120.643      0.414      0.600
     3200   -116.671      0.472      0.600
     3225   -114.265      0.511      0.600
     3250   -115.262      0.491      0.600
     3275   -121.069      0.395      0.600
     3300   -121.908      0.370      0.600
     3325   -122.714      0.355      0.600
     3350   -120.448      0.391      0.600
     3375   -111.658      0.519      0.600
     3400   -114.610      0.479      0.600
     3425   -120.394      0.389      0.600
     3450   -120.019      0.390      0.600
     3475   -118.397      0.419      0.600
     3500   -113.546      0.491      0.600
     3525   -115.617      0.468      0.600
     3550   -117.502      0.450      0.600
     3575   -116.755      0.470      0.600
     3600   -118.091      0.460      0.600
     3625   -121.380      0.419      0.600
     3650   -119.667      0.454      0.600
     3675   -106.907      0.640      0.600
     3700   -112.035      0.569      0.600
     3725   -117.534      0.476      0.600
